amt-buy,amt-sell,average-buy,average-sell,cumulative-amt-buy,cumulative-vol-buy,cumulative_amt-sell,cumulative_vol-sell,last_traded_time,ltp,price-buy,price-sell,sequence-buy,sequence-sell,vol-buy,vol-sell,vol_traded_today
46128533.65,0,4147,4150,242337213.15,58423,25971849.7,6257,11-45-13,4144.15,4144,0,6,6,11131,0,937153
16576.0,0,4147,4150,242353789.15,58427,25971849.7,6257,11-45-14,4144.0,4144,0,6,6,4,0,937157
0,8289.1,4147,4150,25980138.8,6259,242353789.15,58427,11-45-15,4144.55,0,4144,6,6,0,2,937159
0,8290.0,4147,4150,25988428.8,6261,242353789.15,58427,11-45-15,4145.0,0,4145,6,6,0,2,937161
0,323310.0,4147,4150,26311738.8,6339,242353789.15,58427,11-45-17,4145.0,0,4145,6,6,0,78,937239
4103550.0,0,4147,4150,246457339.15,59417,26311738.8,6339,11-45-23,4145.0,4145,0,6,6,990,0,938229
2913513.1999999997,0,4147,4150,249370852.35,60120,26311738.8,6339,11-45-25,4144.4,4144,0,6,6,703,0,938932
0,49738.200000000004,0,4144,49738.200000000004,12,0.0,0,11-45-42,4144.85,0,4144,1,1,0,12,939439
0,91186.70000000001,0,4144,140924.90000000002,34,0.0,0,11-45-46,4144.85,0,4144,1,1,0,22,939461
0,1289048.35,0,4144,1429973.25,345,0.0,0,11-45-49,4144.85,0,4144,1,1,0,311,939772
0,87041.85,0,4144,1517015.1,366,0.0,0,11-45-50,4144.85,0,4144,1,1,0,21,939793
0,78753.09999999999,0,4144,1595768.2000000002,385,0.0,0,11-45-54,4144.9,0,4144,1,1,0,19,939812
0,53883.7,0,4144,1649651.9000000001,398,0.0,0,11-45-55,4144.9,0,4144,1,1,0,13,939825
940915.0,0,4145,4144,940915.0,227,1649651.9000000001,398,11-45-58,4145.0,4145,0,1,1,227,0,940052
290150.0,0,4145,4144,1231065.0,297,1649651.9000000001,398,11-45-59,4145.0,4145,0,1,1,70,0,940122
2951168.8,0,4144,4144,4182233.8,1009,1649651.9000000001,398,11-46-01,4144.9,4144,0,2,1,712,0,940834
0,1554375.0,4144,4144,3204026.9000000004,773,4182233.8,1009,11-46-07,4145.0,0,4145,2,1,0,375,941209
878740.0,0,4144,4144,5060973.8,1221,3204026.9000000004,773,11-46-08,4145.0,4145,0,2,1,212,0,941421
7111790.399999999,0,4144,4144,12172764.2,2937,3204026.9000000004,773,11-46-09,4144.4,4144,0,2,1,1716,0,943137
128471.75,0,4144,4144,12301235.95,2968,3204026.9000000004,773,11-46-10,4144.25,4144,0,2,1,31,0,943168
41446.0,0,4144,4144,12342681.95,2978,3204026.9000000004,773,11-46-11,4144.6,4144,0,2,1,10,0,943178
41448.5,0,4144,4144,12384130.45,2988,3204026.9000000004,773,11-46-11,4144.85,4144,0,2,1,10,0,943188
24867.600000000002,0,4144,4144,12408998.049999999,2994,3204026.9000000004,773,11-46-12,4144.6,4144,0,2,1,6,0,943194
721230.0,0,4144,4144,13130228.049999999,3168,3204026.9000000004,773,11-46-14,4145.0,4145,0,2,1,174,0,943368
252845.0,0,4144,4144,13383073.049999999,3229,3204026.9000000004,773,11-46-15,4145.0,4145,0,2,1,61,0,943429
1504580.55,0,4144,4144,14887653.6,3592,3204026.9000000004,773,11-46-20,4144.85,4144,0,2,1,363,0,943792
1591526.4000000001,0,4144,4144,16479180.0,3976,3204026.9000000004,773,11-46-21,4144.6,4144,0,2,1,384,0,944176
62169.00000000001,0,4144,4144,16541349.0,3991,3204026.9000000004,773,11-46-22,4144.6,4144,0,2,1,15,0,944191
0,16579.4,4144,4144,3220606.3000000003,777,16541349.0,3991,11-46-24,4144.85,0,4144,2,1,0,4,944195
418604.60000000003,0,4144,4144,16959953.6,4092,3220606.3000000003,777,11-46-26,4144.6,4144,0,2,1,101,0,944296
0,547080.6,4144,4144,3767686.9000000004,909,16959953.6,4092,11-46-30,4144.55,0,4144,2,1,0,132,944428
0,1086042.4,4144,4144,4853729.300000001,1171,16959953.6,4092,11-46-32,4145.2,0,4145,2,1,0,262,944690
0,327443.15,4144,4144,5181172.450000001,1250,16959953.6,4092,11-46-35,4144.85,0,4144,2,1,0,79,944769
190644.69999999998,0,4144,4144,17150598.3,4138,5181172.450000001,1250,11-46-36,4144.45,4144,0,2,1,46,0,944815
348146.4,0,4144,4144,17498744.7,4222,5181172.450000001,1250,11-46-37,4144.6,4144,0,2,1,84,0,944899
696292.8,0,4144,4144,18195037.5,4390,5181172.450000001,1250,11-46-38,4144.6,4144,0,2,1,168,0,945067
87037.65,0,4144,4144,18282075.15,4411,5181172.450000001,1250,11-46-39,4144.65,4144,0,2,1,21,0,945088
8289.4,0,4144,4144,18290364.549999997,4413,5181172.450000001,1250,11-46-40,4144.7,4144,0,2,1,2,0,945090
41447.0,0,4144,4144,18331811.549999997,4423,5181172.450000001,1250,11-46-41,4144.7,4144,0,2,1,10,0,945100
8289.4,0,4144,4144,18340100.949999996,4425,5181172.450000001,1250,11-46-41,4144.7,4144,0,2,1,2,0,945102
0,107768.7,4144,4144,5288941.150000001,1276,18340100.949999996,4425,11-46-44,4144.95,0,4144,2,1,0,26,945128
62170.5,0,4144,4144,18402271.449999996,4440,5288941.150000001,1276,11-46-45,4144.7,4144,0,2,1,15,0,945143
526421.35,0,4144,4144,18928692.799999997,4567,5288941.150000001,1276,11-46-47,4145.05,4145,0,2,1,127,0,945270
1276675.4000000001,0,4144,4144,20205368.199999996,4875,5288941.150000001,1276,11-46-49,4145.05,4145,0,2,1,308,0,945578
136786.65,0,4144,4144,20342154.849999994,4908,5288941.150000001,1276,11-46-49,4145.05,4145,0,2,1,33,0,945611
1662124.95,0,4144,4144,22004279.799999993,5309,5288941.150000001,1276,11-46-54,4144.95,4144,0,2,1,401,0,946012
360610.64999999997,0,4144,4144,22364890.44999999,5396,5288941.150000001,1276,11-46-59,4144.95,4144,0,2,1,87,0,946099
0,91213.1,4144,4144,5380154.250000001,1298,22364890.44999999,5396,11-47-01,4146.05,0,4146,2,1,0,22,946121
0,908017.7999999999,4144,4145,6288172.050000001,1517,22364890.44999999,5396,11-47-02,4146.2,0,4146,2,2,0,219,946340
1459198.4,0,4144,4145,23824088.84999999,5748,6288172.050000001,1517,11-47-06,4145.45,4145,0,2,2,352,0,946692
37314.450000000004,0,4144,4145,23861403.29999999,5757,6288172.050000001,1517,11-47-06,4146.05,4146,0,2,2,9,0,946701
