ltp,vol_traded_today,last_traded_time,exch_feed_time,bid_size,ask_size,bid_price,ask_price,last_traded_qty,tot_buy_qty,tot_sell_qty,avg_trade_price,low_price,high_price,lower_ckt,upper_ckt,open_price,prev_close_price,type,symbol,ch,chp,time
4126.05,18599,1734936166,1734936171,6,16,4122.4,4125.45,10,16492,130865,4166.98,4119.0,4215.35,0,0,4199.0,4168.05,sf,BSE:TCS-A,-42.0,-1.0077,1734955972.111486
4126.05,18599,1734936166,1734936172,6,16,4122.4,4125.45,10,16459,131742,4166.98,4119.0,4215.35,0,0,4199.0,4168.05,sf,BSE:TCS-A,-42.0,-1.0077,1734955973.344655
4126.05,18599,1734936166,1734936172,6,16,4122.4,4125.45,10,16108,131853,4166.98,4119.0,4215.35,0,0,4199.0,4168.05,sf,BSE:TCS-A,-42.0,-1.0077,1734955973.724147
4126.05,18599,1734936166,1734936173,6,16,4122.4,4125.45,10,16452,131178,4166.98,4119.0,4215.35,0,0,4199.0,4168.05,sf,BSE:TCS-A,-42.0,-1.0077,1734955974.517417
4126.05,18599,1734936166,1734936174,6,16,4122.4,4125.45,10,16452,131907,4166.98,4119.0,4215.35,0,0,4199.0,4168.05,sf,BSE:TCS-A,-42.0,-1.0077,1734955974.853439
4126.05,18599,1734936166,1734936177,16,16,4122.4,4125.45,10,16377,132162,4166.98,4119.0,4215.35,0,0,4199.0,4168.05,sf,BSE:TCS-A,-42.0,-1.0077,1734955978.059892
4126.05,18599,1734936166,1734936177,16,16,4122.4,4125.45,10,16384,132162,4166.98,4119.0,4215.35,0,0,4199.0,4168.05,sf,BSE:TCS-A,-42.0,-1.0077,1734955978.479718
4126.05,18599,1734936166,1734936178,10,10,4122.45,4125.6,10,16224,132058,4166.98,4119.0,4215.35,0,0,4199.0,4168.05,sf,BSE:TCS-A,-42.0,-1.0077,1734955979.390464
4126.05,18599,1734936166,1734936179,10,10,4122.45,4125.6,10,16658,132110,4166.98,4119.0,4215.35,0,0,4199.0,4168.05,sf,BSE:TCS-A,-42.0,-1.0077,1734955979.692485
4125.65,18660,1734936179,1734936180,8,26,4122.5,4125.8,51,16446,130996,4166.85,4119.0,4215.35,0,0,4199.0,4168.05,sf,BSE:TCS-A,-42.4,-1.0173,1734955981.029244
4125.65,18660,1734936179,1734936181,8,26,4122.5,4125.8,51,16441,131481,4166.85,4119.0,4215.35,0,0,4199.0,4168.05,sf,BSE:TCS-A,-42.4,-1.0173,1734955981.828198
4125.65,18660,1734936179,1734936181,8,26,4122.5,4125.8,51,15718,131481,4166.85,4119.0,4215.35,0,0,4199.0,4168.05,sf,BSE:TCS-A,-42.4,-1.0173,1734955982.477449
